alpha,beta
6.470941883767535,[0.14350121]
6.498997995991984,[0.14284714]
6.527054108216433,[0.14138915]
6.5551102204408815,[0.1441356]
6.583166332665331,[0.13449508]
6.61122244488978,[0.13604483]
6.6392785571142285,[0.13754773]
6.667334669338677,[0.13405631]
6.695390781563126,[0.12729247]
6.7234468937875755,[0.13417654]
6.751503006012024,[0.13412115]
6.779559118236473,[0.12664596]
6.807615230460922,[0.12681615]
6.835671342685371,[0.1275598]
6.86372745490982,[0.12737257]
6.891783567134269,[0.12766437]
6.919839679358717,[0.1299321]
6.947895791583166,[0.12940493]
6.975951903807616,[0.12447168]
7.004008016032064,[0.12238258]
7.032064128256513,[0.1151464]
7.060120240480962,[0.1159826]
7.0881763527054105,[0.11619632]
7.11623246492986,[0.11941904]
7.144288577154309,[0.12168945]
7.1723446893787575,[0.12339565]
7.200400801603206,[0.11834769]
7.228456913827656,[0.11493752]
7.2565130260521045,[0.11676229]
7.284569138276553,[0.11087741]
7.312625250501002,[0.11662174]
7.340681362725451,[0.10641604]
7.3687374749499,[0.10732309]
7.396793587174349,[0.11079581]
7.424849699398798,[0.10734034]
7.452905811623246,[0.10828383]
7.480961923847696,[0.10476311]
7.509018036072145,[0.10347978]
7.537074148296593,[0.10383351]
7.565130260521042,[0.09824129]
7.593186372745491,[0.09972073]
7.62124248496994,[0.09878169]
7.649298597194389,[0.10128046]
7.677354709418838,[0.09844057]
7.705410821643286,[0.09586667]
7.733466933867735,[0.08948372]
7.761523046092185,[0.09163771]
7.789579158316633,[0.09477]
7.817635270541082,[0.08837165]
7.845691382765531,[0.08881417]
7.87374749498998,[0.09545955]
7.901803607214429,[0.0976783]
7.929859719438878,[0.09227918]
7.9579158316633265,[0.09083051]
7.985971943887775,[0.08634258]
8.014028056112224,[0.08599939]
8.042084168336673,[0.08477586]
8.070140280561123,[0.09451478]
8.098196392785571,[0.08735942]
8.12625250501002,[0.08657237]
8.15430861723447,[0.0824059]
8.182364729458918,[0.08440673]
8.210420841683366,[0.07746363]
8.238476953907815,[0.08102111]
8.266533066132265,[0.08156085]
8.294589178356713,[0.07779716]
8.322645290581162,[0.07840347]
8.350701402805612,[0.07558884]
8.37875751503006,[0.07485674]
8.40681362725451,[0.07139948]
8.434869739478959,[0.07326083]
8.462925851703407,[0.07412181]
8.490981963927855,[0.07614538]
8.519038076152306,[0.07096825]
8.547094188376754,[0.07446448]
8.575150300601202,[0.06551025]
8.603206412825651,[0.07005406]
8.6312625250501,[0.06525311]
8.659318637274549,[0.0715028]
8.687374749498998,[0.06685757]
8.715430861723448,[0.06749291]
8.743486973947896,[0.06741044]
8.771543086172345,[0.06408432]
8.799599198396795,[0.06609825]
8.827655310621243,[0.06342063]
8.85571142284569,[0.06388862]
8.88376753507014,[0.06043169]
8.91182364729459,[0.06230929]
8.939879759519037,[0.06270616]
8.967935871743487,[0.05788382]
8.995991983967937,[0.06202268]
9.024048096192384,[0.05563649]
9.052104208416834,[0.05544164]
9.080160320641284,[0.05931868]
9.108216432865731,[0.05908845]
9.136272545090181,[0.05618774]
9.164328657314629,[0.05705088]
9.192384769539078,[0.05193105]
9.220440881763528,[0.05671206]
9.248496993987976,[0.05783034]
9.276553106212425,[0.05474484]
9.304609218436873,[0.05320858]
9.332665330661323,[0.05072018]
9.360721442885772,[0.05325561]
9.38877755511022,[0.04736277]
9.41683366733467,[0.05663782]
9.444889779559118,[0.04768142]
9.472945891783567,[0.05037135]
9.501002004008017,[0.04937437]
9.529058116232465,[0.05134572]
9.557114228456914,[0.04844683]
9.585170340681362,[0.04715235]
9.613226452905812,[0.0451549]
9.641282565130261,[0.04988114]
9.669338677354709,[0.04532814]
9.697394789579159,[0.04705]
9.725450901803608,[0.04428966]
9.753507014028056,[0.04350528]
9.781563126252506,[0.04040991]
9.809619238476953,[0.03946349]
9.837675350701403,[0.04344304]
9.865731462925853,[0.03940583]
9.8937875751503,[0.04073589]
9.92184368737475,[0.04132416]
9.949899799599198,[0.04095661]
9.977955911823647,[0.04128251]
10.006012024048097,[0.04124318]
10.034068136272545,[0.03801484]
10.062124248496994,[0.03545215]
10.090180360721442,[0.03880057]
10.118236472945892,[0.0401306]
10.146292585170341,[0.03627628]
10.17434869739479,[0.03543582]
10.202404809619239,[0.03671124]
10.230460921843687,[0.03773382]
10.258517034068136,[0.03589702]
10.286573146292586,[0.03706077]
10.314629258517034,[0.03618025]
10.342685370741483,[0.0356364]
10.370741482965933,[0.03341679]
10.39879759519038,[0.03207651]
10.42685370741483,[0.0321937]
10.454909819639278,[0.0317732]
10.482965931863728,[0.03398405]
10.511022044088177,[0.02947136]
10.539078156312625,[0.03289525]
10.567134268537075,[0.0320552]
10.595190380761522,[0.03164307]
10.623246492985972,[0.03048335]
10.651302605210422,[0.02854495]
10.67935871743487,[0.02968923]
10.707414829659319,[0.02903925]
10.735470941883767,[0.0304582]
10.763527054108216,[0.0298533]
10.791583166332666,[0.02952073]
10.819639278557114,[0.02890815]
10.847695390781563,[0.02955765]
10.875751503006011,[0.02644896]
10.90380761523046,[0.02891322]
10.93186372745491,[0.02902655]
10.959919839679358,[0.02745232]
10.987975951903808,[0.02525384]
11.016032064128257,[0.02492537]
11.044088176352705,[0.02897139]
11.072144288577155,[0.02874561]
11.100200400801603,[0.02431685]
11.128256513026052,[0.02361908]
11.156312625250502,[0.02681945]
11.18436873747495,[0.0237309]
11.2124248496994,[0.02241186]
11.240480961923847,[0.02398012]
11.268537074148297,[0.02273448]
11.296593186372746,[0.02295705]
11.324649298597194,[0.02472969]
11.352705410821644,[0.02191416]
11.380761523046091,[0.01917082]
11.408817635270541,[0.01921436]
11.43687374749499,[0.02022721]
11.464929859719438,[0.01848647]
11.492985971943888,[0.02176557]
11.521042084168338,[0.02318352]
11.549098196392785,[0.02059669]
11.577154308617235,[0.0203519]
11.605210420841683,[0.02160254]
11.633266533066132,[0.01912008]
11.661322645290582,[0.01980173]
11.68937875751503,[0.0194534]
11.71743486973948,[0.01748379]
11.745490981963927,[0.019352]
11.773547094188377,[0.01890412]
11.801603206412826,[0.01671329]
11.829659318637274,[0.01868525]
11.857715430861724,[0.01951656]
11.885771543086172,[0.01692315]
11.913827655310621,[0.01767441]
11.94188376753507,[0.01397457]
11.969939879759519,[0.01628852]
11.997995991983968,[0.01491327]
12.026052104208416,[0.01410327]
12.054108216432866,[0.01331919]
12.082164328657315,[0.01451244]
12.110220440881763,[0.01457537]
12.138276553106213,[0.01586585]
12.166332665330662,[0.01400743]
12.19438877755511,[0.01620158]
12.22244488977956,[0.01606767]
12.250501002004007,[0.01462648]
12.278557114228457,[0.01408737]
12.306613226452907,[0.01287298]
12.334669338677354,[0.01457095]
12.362725450901804,[0.01461505]
12.390781563126252,[0.01227888]
12.418837675350701,[0.01348596]
12.446893787575151,[0.01430575]
12.474949899799599,[0.01137212]
12.503006012024048,[0.01187886]
12.531062124248496,[0.01108913]
12.559118236472946,[0.01276471]
12.587174348697395,[0.01159922]
12.615230460921843,[0.0106175]
12.643286573146293,[0.01283701]
12.671342685370742,[0.01235015]
12.69939879759519,[0.01143875]
12.72745490981964,[0.01190428]
12.755511022044088,[0.0094516]
12.783567134268537,[0.01152443]
12.811623246492987,[0.01344648]
12.839679358717435,[0.01091155]
12.867735470941884,[0.01043836]
12.895791583166332,[0.01069235]
12.923847695390782,[0.00947393]
12.951903807615231,[0.01007181]
12.97995991983968,[0.01218149]
13.008016032064129,[0.00995903]
13.036072144288577,[0.01091882]
13.064128256513026,[0.00812233]
13.092184368737476,[0.00901576]
13.120240480961924,[0.01037195]
13.148296593186373,[0.01033768]
13.176352705410821,[0.00848363]
13.20440881763527,[0.00920937]
13.23246492985972,[0.01045221]
13.260521042084168,[0.00710911]
13.288577154308618,[0.00758276]
13.316633266533067,[0.00811819]
13.344689378757515,[0.0086985]
13.372745490981965,[0.00833542]
13.400801603206412,[0.00892864]
13.428857715430862,[0.0095346]
13.456913827655312,[0.00694135]
13.48496993987976,[0.00892523]
13.513026052104209,[0.00770025]
13.541082164328657,[0.00620502]
13.569138276553106,[0.0070058]
13.597194388777556,[0.00650081]
13.625250501002004,[0.00716899]
13.653306613226453,[0.00775458]
13.681362725450901,[0.00635286]
13.70941883767535,[0.00688831]
13.7374749498998,[0.00591967]
13.765531062124248,[0.00517724]
13.793587174348698,[0.00749219]
13.821643286573146,[0.0072751]
13.849699398797595,[0.00547933]
13.877755511022045,[0.00469327]
13.905811623246493,[0.00529275]
13.933867735470942,[0.00612503]
13.961923847695392,[0.00391911]
13.98997995991984,[0.00694802]
14.01803607214429,[0.00334833]
14.046092184368737,[0.00452609]
14.074148296593187,[0.00549513]
14.102204408817636,[0.0061228]
14.130260521042084,[0.00589689]
14.158316633266534,[0.00540419]
14.186372745490981,[0.00359471]
14.214428857715431,[0.00607933]
14.24248496993988,[0.0047869]
14.270541082164328,[0.00487344]
14.298597194388778,[0.00559212]
14.326653306613226,[0.00511569]
14.354709418837675,[0.00488274]
14.382765531062125,[0.00559727]
14.410821643286573,[0.00481659]
14.438877755511022,[0.00457419]
14.46693386773547,[0.00497122]
14.49498997995992,[0.00363298]
14.52304609218437,[0.00450154]
14.551102204408817,[0.00331852]
14.579158316633267,[0.00417771]
14.607214428857716,[0.00077484]
14.635270541082164,[0.00396495]
14.663326653306614,[0.00357471]
14.691382765531062,[0.00388779]
14.719438877755511,[0.00383747]
14.74749498997996,[0.0035267]
14.775551102204409,[0.0028911]
14.803607214428858,[0.00259862]
14.831663326653306,[0.00302175]
14.859719438877756,[0.00444169]
14.887775551102205,[0.0040058]
14.915831663326653,[1.5196212e-08]
14.943887775551103,[0.00404118]
14.97194388777555,[0.00230636]
15.0,[0.00203386]
